post_id,author,author_id,author_karma,title,length,date,comments,votes,score
HmfxSWnqnK265GEFM,Scott Alexander,scottalexander,40818,Are wireheads happy?,6,2010-01-01,107,151,174
w8g7AkSbyApokD3dH,Alicorn,alicorn,30225,A Suite of Pragmatic Considerations in Favor of Niceness,4,2010-01-05,198,100,109
SEq8bvSXrzF4jcdS8,Wei_Dai,wei_dai,35226,Tips and Tricks for Answering Hard Questions,2,2010-01-17,54,59,97
hiDkhLyN5S2MEjrSE,Eliezer Yudkowsky,eliezer_yudkowsky,132314,Normal Cryonics,4,2010-01-19,964,115,90
srge9MCLHSiwzaX6r,Eliezer Yudkowsky,eliezer_yudkowsky,132314,Logical Rudeness,4,2010-01-29,206,81,102
HmfxSWnqnK265GEFM,Scott Alexander,scottalexander,40818,Are wireheads happy?,6,2010-02-01,107,151,174
w8g7AkSbyApokD3dH,Alicorn,alicorn,30225,A Suite of Pragmatic Considerations in Favor of Niceness,4,2010-02-05,198,100,109
SEq8bvSXrzF4jcdS8,Wei_Dai,wei_dai,35226,Tips and Tricks for Answering Hard Questions,2,2010-02-17,54,59,97
hiDkhLyN5S2MEjrSE,Eliezer Yudkowsky,eliezer_yudkowsky,132314,Normal Cryonics,4,2010-02-19,964,115,90
srge9MCLHSiwzaX6r,Eliezer Yudkowsky,eliezer_yudkowsky,132314,Logical Rudeness,4,2010-02-28,206,81,102
HmfxSWnqnK265GEFM,Scott Alexander,scottalexander,40818,Are wireheads happy?,6,2010-03-01,107,151,174
w8g7AkSbyApokD3dH,Alicorn,alicorn,30225,A Suite of Pragmatic Considerations in Favor of Niceness,4,2010-03-05,198,100,109
SEq8bvSXrzF4jcdS8,Wei_Dai,wei_dai,35226,Tips and Tricks for Answering Hard Questions,2,2010-03-17,54,59,97
hiDkhLyN5S2MEjrSE,Eliezer Yudkowsky,eliezer_yudkowsky,132314,Normal Cryonics,4,2010-03-19,964,115,90
srge9MCLHSiwzaX6r,Eliezer Yudkowsky,eliezer_yudkowsky,132314,Logical Rudeness,4,2010-03-29,206,81,102
